COUNTRY,INDICATOR,FREQUENCY,SCALE,TAHUN,VALUE
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2020,-2.07
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2021,3.70
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2022,5.31
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2023,5.05
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2024,4.85
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2025,4.85
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2026,4.29
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2027,4.24
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2028,4.19
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2029,4.14
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2030,4.09
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2000,3.78
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2001,2.19
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2002,3.03
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2003,3.31
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2004,3.55
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2005,4.21
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2006,4.02
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2007,4.85
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2008,5.93
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2009,3.23
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2010,4.88
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2011,4.26
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2012,4.55
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2013,4.12
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2014,3.61
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2015,3.64
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2016,3.69
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2017,3.92
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2018,4.06
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2019,3.94
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2020,-3.26
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2021,2.76
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2022,4.15
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2023,3.93
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2024,5.03
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2025,3.92
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2026,3.41
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2027,3.39
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2028,3.37
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2029,3.35
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2030,3.34
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2000,-1.87
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2001,-1.76
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2002,-0.58
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2003,-1.08
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2004,-0.26
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2005,0.46
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2006,0.45
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2007,-0.95
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2008,0.05
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2009,-1.64
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2010,-1.24
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2011,-0.70
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2012,-1.59
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2013,-1.96
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2014,-1.80
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2015,-2.72
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2016,-2.56
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2017,-2.26
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2018,-1.69
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2019,-2.09
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2020,-6.07
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2021,-4.40
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2022,-2.31
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2023,-1.64
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2024,-1.97
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2025,-2.14
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2026,-2.19
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2027,-2.22
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2028,-2.24
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2029,-2.26
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2030,-2.29
Indonesia,Unemployment rate,Annual,Units,2000,6.08
Indonesia,Unemployment rate,Annual,Units,2001,8.10
Indonesia,Unemployment rate,Annual,Units,2002,9.06
Indonesia,Unemployment rate,Annual,Units,2003,9.67
Indonesia,Unemployment rate,Annual,Units,2004,9.86
Indonesia,Unemployment rate,Annual,Units,2005,11.24
Indonesia,Unemployment rate,Annual,Units,2006,10.28
Indonesia,Unemployment rate,Annual,Units,2007,9.11
Indonesia,Unemployment rate,Annual,Units,2008,8.39
Indonesia,Unemployment rate,Annual,Units,2009,7.87
Indonesia,Unemployment rate,Annual,Units,2010,7.14
Indonesia,Unemployment rate,Annual,Units,2011,6.56
Indonesia,Unemployment rate,Annual,Units,2012,6.14
Indonesia,Unemployment rate,Annual,Units,2013,6.25
Indonesia,Unemployment rate,Annual,Units,2014,5.94
Indonesia,Unemployment rate,Annual,Units,2015,6.18
Indonesia,Unemployment rate,Annual,Units,2016,5.61
