COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2024,2.80,Forecast
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,4.87,Forecast
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2024,2.52,Forecast
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2024,4.34,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2024,1.81,Forecast
Singapore,Unemployment rate,Annual,Units,2024,1.89,Forecast
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2024,18.41,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2025,2.64,Forecast
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2025,5.03,Forecast
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2025,2.47,Forecast
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2025,4.48,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2025,1.70,Forecast
Singapore,Unemployment rate,Annual,Units,2025,1.86,Forecast
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2025,18.64,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2026,2.48,Forecast
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2026,5.20,Forecast
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2026,2.42,Forecast
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2026,4.62,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2026,1.60,Forecast
Singapore,Unemployment rate,Annual,Units,2026,1.83,Forecast
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2026,18.86,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2027,2.32,Forecast
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2027,5.36,Forecast
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2027,2.37,Forecast
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2027,4.77,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2027,1.50,Forecast
Singapore,Unemployment rate,Annual,Units,2027,1.79,Forecast
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2027,19.08,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2028,2.16,Forecast
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2028,5.52,Forecast
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2028,2.32,Forecast
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2028,4.91,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2028,1.39,Forecast
Singapore,Unemployment rate,Annual,Units,2028,1.76,Forecast
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2028,19.31,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2029,2.00,Forecast
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2029,5.69,Forecast
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2029,2.27,Forecast
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2029,5.05,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2029,1.29,Forecast
Singapore,Unemployment rate,Annual,Units,2029,1.73,Forecast
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2029,19.53,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2030,1.84,Forecast
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2030,5.85,Forecast
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2030,2.22,Forecast
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2030,5.19,Forecast
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2030,1.19,Forecast
Singapore,Unemployment rate,Annual,Units,2030,1.70,Forecast
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2030,19.75,Forecast
