COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2022,3.86,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,2.50,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2022,0.96,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2022,2.11,Actual
Japan,Unemployment rate,Annual,Units,2022,2.59,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2023,1.72,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2023,-2.26,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2023,2.91,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,3.27,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2023,1.25,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2023,3.71,Actual
Japan,Unemployment rate,Annual,Units,2023,2.58,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2024,0.66,Forecast
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2024,-2.04,Forecast
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2024,1.66,Forecast
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2024,1.51,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2024,0.28,Forecast
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2024,3.48,Forecast
Japan,Unemployment rate,Annual,Units,2024,2.48,Forecast
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2025,0.64,Forecast
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2025,-1.82,Forecast
